condition: 2 = TSA,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,
2,1,2,1,3,,1,,2,,0.189599084,0.414,-0.003157826,-0.00954498,,,2.577642385,,,2,,0.20298323,0.322,0.031798846,0.033171023,,,2.577642385
2,1,2,1,4,,1,,3,,0.191909232,0.276,0.011926502,0.004512871,,,2.307348308,,,2,,0.184681,0.322,0.009577272,0.00014591,,,2.307348308
2,1,2,1,5,,1,,4,,0.197208745,0.506,0.044746347,0.040884708,,,2.026089871,,,2,,0.205169143,0.414,0.039979553,0.037786316,,,2.026089871
2,1,2,1,6,,1,,5,,0.164785598,0.368,0.043769898,0.03273593,,,2.032346468,,,2,,0.170939469,0.322,0.030144223,0.01812843,,,2.032346468
2,1,2,1,7,,1,,6,,0.178319887,0.368,0.028024986,0.021400588,,,1.840000037,,,2,,0.185225379,0.368,0.030940246,0.0152235,,,1.840000037
2,1,2,1,8,,1,,7,,0.191986008,0.368,0.031583014,0.009528068,,,1.934189275,,,2,,0.177114443,0.322,0.043649716,0.035767745,,,1.934189275
2,1,2,1,9,,1,,8,,0.190038455,0.552,0.118560808,0.098662595,,,2.208000044,,,2,,0.195792412,0.322,0.025447984,0.013583601,,,2.208000044
2,1,2,1,10,,1,,9,,0.177356141,0.414,0.025921033,0.021423965,,,2.669585789,,,2,,0.188888292,0.322,0.023936138,0.020858537,,,2.669585789
2,1,2,1,11,,1,,10,,0.181801807,0.368,0.021433711,0.014981592,,,3.036000061,,,2,,0.182959548,0.322,0.021491334,0.030252965,,,3.036000061
2,1,2,1,12,,1,,11,,0.179184714,0.414,0.020728163,-0.004330188,,,3.497210387,,,2,,0.183240457,0.322,0.029232304,0.027867324,,,3.497210387
2,1,2,1,13,,1,,12,,0.203164476,0.414,-0.001700706,-0.014381451,,,3.500838827,,,2,,0.218474261,0.322,0.028563707,0.014366903,,,3.500838827
2,1,2,1,14,,1,,13,,0.185055341,0.368,0.01712307,0.018256684,,,3.408969414,,,2,,0.219464801,0.368,0.00742905,0.00510679,,,3.408969414
2,1,2,1,15,,1,,14,,0.190097562,0.414,0.000244118,-0.004862703,,,3.313277598,,,2,,0.211201035,0.368,0.019823554,0.017015921,,,3.313277598
2,1,2,1,16,,1,,15,,0.177006143,0.414,0.029429303,0.03291204,,,3.220000064,,,2,,0.196399491,0.368,0.004797077,0.000261246,,,3.220000064
2,1,2,1,17,,1,,16,,0.186409871,0.368,0.023015826,0.022074865,,,2.945437208,,,2,,0.226951109,0.368,0.013329364,0.010160269,,,2.945437208
