"condition","Cell index","KT pairs","KT","Time","move X","move Y","move Z","move interval","WidthX Ch1 (normalized)","tail or not ch1","tail direction ch1","WidthX Ch2 (normalized)","tail or not ch2","tail direction ch2","location X","location Y","location Z","frame"
1,2,7,1,20,0.06858596290873287,0.03911397490262658,0.005551069832738897,-1,1.1169388887208758,"False","",0.9992168140767074,"False","",0.07535745474816302,-0.2798615206396118,-0.33107356373671437,20
1,2,7,1,21,0.07598880746408199,-0.06782565136062235,-0.13424637335147194,-1,1.0385193771117318,"False","",0.9723279356112153,"False","",0.006771491839430155,-0.31897549554223836,-0.33662463356945327,21
1,2,7,1,22,-0.18367579556654512,-0.2258090464847431,-0.03488588848398999,-1,0.9800202238507654,"False","",0.8915511642855969,"False","",-0.06921731562465183,-0.251149844181616,-0.20237826021798133,22
1,2,7,1,23,0.131666896242983,0.14493547221350145,-0.06645688626023949,-1,0.9359647913795209,"False","",0.9218657899099426,"False","",0.11445847994189329,-0.02534079769687292,-0.16749237173399134,23
1,2,7,1,24,0.14258831488821677,0.08670814535955351,0.008264612647024716,-1,1.0312297549020641,"False","",0.9896889055192326,"False","",-0.017208416301089713,-0.17027626991037437,-0.10103548547375185,24
1,2,7,2,1,0.11610766337493139,-0.011553754616932643,-0.02409576462010743,1,0.9754609091717658,"False","",0.944524116748262,"False","",-0.27858591104440933,0.10500484230171114,0.1064966739855231,1
1,2,7,2,2,0.13398381718199914,-0.06179988306939865,0.18896355834772915,1,0.931820908869205,"False","",0.9934722559421103,"False","",-0.16247824766947794,0.0934510876847785,0.08240090936541566,2
1,2,7,2,3,0.04441786254324498,-0.015513728099082691,-0.06887682548150154,1,0.9852821382370612,"False","",1.028470000131563,"False","",-0.028494430487478795,0.031651204615379847,0.2713644677131448,3
1,2,7,2,4,0.06643027632442333,0.0592924315672283,-0.05023367055079131,1,1.0476998799058599,"False","",1.0104131042496047,"False","",0.015923432055766185,0.016137476516297156,0.20248764223164328,4
1,2,7,2,5,-0.06189314925985734,0.08231097622302741,-0.04989566763753839,1,0.9307032496369793,"False","",0.9901551298448962,"False","",0.08235370838018952,0.07542990808352545,0.15225397168085197,5
1,2,7,2,6,0.03390789074579814,0.04373242495796781,0.0694738505031538,1,1.0642166973897733,"False","",1.065557995898815,"False","",0.020460559120332178,0.15774088430655286,0.10235830404331359,6
1,2,7,2,7,-0.0994896819115283,-0.1481023371053798,-0.01814530285253757,1,0.9876226483648546,"False","",0.9556635793612176,"False","",0.05436844986613032,0.20147330926452067,0.17183215454646739,7
1,2,7,2,8,0.031347605859826544,-0.029694692166710723,0.03955525357632528,1,0.9823298871438777,"False","",1.025206585474201,"False","",-0.045121232045397974,0.053370972159140884,0.15368685169392982,8
1,2,7,2,9,0.006629688145753931,0.0037342037122938265,0.09872778147713746,1,1.0025630783230053,"False","",0.9931170173812682,"False","",-0.01377362618557143,0.02367627999243016,0.1932421052702551,9
1,2,7,2,10,0.05506858579970775,0.08097436273301195,-0.04946859500025114,1,0.9817816959603346,"False","",1.0950130344689017,"False","",-0.007143938039817499,0.027410483704723987,0.29196988674739255,10
1,2,7,2,11,0.013302432885030413,0.2485436497338318,-0.05686648407028039,1,1.0304352236795782,"False","",1.0579333780485325,"False","",0.04792464775989025,0.10838484643773594,0.2425012917471414,11
1,2,7,2,12,-0.10236742043220026,-0.13148229999263794,-0.08041154565845954,1,1.032468689664996,"False","",0.9867110653654309,"False","",0.06122708064492066,0.35692849617156774,0.18563480767686102,12
1,2,7,2,13,-0.14562355797361626,-0.10147103322282813,0.016186713943986186,1,0.9874528506826376,"False","",1.0181161564954366,"False","",-0.0411403397872796,0.2254461961789298,0.10522326201840149,13
1,2,7,2,14,-0.03615767020735383,-0.05139441138463319,-0.1385894494647648,1,0.9641744659088946,"False","",1.0439363786438507,"False","",-0.18676389776089586,0.12397516295610167,0.12140997596238767,14
1,2,7,2,15,0.29091880143089455,-0.048907251466312474,-0.1402360655199657,1,0.9503887894449304,"False","",0.9418091417955333,"False","",-0.2229215679682497,0.07258075157146848,-0.01717947350237714,15
1,2,7,2,16,-0.01621701966333866,-0.17817556400106316,-0.05397523380036651,1,1.0985109001574032,"False","",0.9377238387055177,"False","",0.06799723346264486,0.02367350010515601,-0.15741553902234284,16
1,2,7,2,17,0.037784764459077635,0.09541163465341729,0.05670250785192321,1,0.9631280929793848,"False","",0.9950103407165153,"False","",0.051780213799306196,-0.15450206389590715,-0.21139077282270935,17
1,2,7,2,18,0.01466028740498082,-0.13473425027991404,-0.15159308650606818,1,0.9717552416422469,"False","",0.95005037735059,"False","",0.08956497825838383,-0.05909042924248986,-0.15468826497078614,18
1,2,7,2,19,0.06794505330332434,-0.1357095740513321,-0.05908792102777394,1,0.9907786872241798,"False","",0.9742687037792249,"False","",0.10422526566336465,-0.1938246795224039,-0.3062813514768543,19
